TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.lang.WordUtils,BRANCH,0.990909090909091,110,109
org.apache.commons.lang.StringEscapeUtils,BRANCH,0.9428571428571428,140,122
org.apache.commons.lang.text.StrBuilder,BRANCH,1.0,564,564
org.apache.commons.lang.builder.EqualsBuilder,BRANCH,0.9396551724137931,232,218
org.apache.commons.lang.math.Fraction,BRANCH,0.9646464646464646,198,187
org.apache.commons.lang.time.FastDateFormat,BRANCH,0.8603603603603603,444,379
org.apache.commons.lang.BooleanUtils,BRANCH,0.9955156950672646,223,222
org.apache.commons.lang.StringEscapeUtils,BRANCH,0.9224137931034483,116,97
org.apache.commons.lang.time.DateUtils,BRANCH,0.9854368932038835,206,203
org.apache.commons.lang.LocaleUtils,BRANCH,1.0,73,71
org.apache.commons.lang.time.StopWatch,BRANCH,0.96875,32,31
org.apache.commons.lang.time.FastDateFormat,BRANCH,0.859375,448,383
org.apache.commons.lang.LocaleUtils,BRANCH,1.0,71,70
org.apache.commons.lang.math.NumberUtils,BRANCH,0.9795918367346939,441,432
org.apache.commons.lang.text.StrBuilder,BRANCH,1.0,517,516
org.apache.commons.lang.text.StrBuilder,BRANCH,1.0,517,517
org.apache.commons.lang.text.StrBuilder,BRANCH,1.0,517,517
org.apache.commons.lang.Entities,BRANCH,0.9401709401709402,117,97
org.apache.commons.lang.time.DurationFormatUtils,BRANCH,0.9225806451612903,155,143
org.apache.commons.lang.enums.ValuedEnum,BRANCH,0.11764705882352941,17,2
org.apache.commons.csv.ExtendedBufferedReader,BRANCH,0.6,30,18
org.apache.commons.csv.CSVRecord,BRANCH,1.0,25,25
org.apache.commons.csv.Lexer,BRANCH,0.9714285714285714,70,66
org.apache.commons.csv.CSVParser,BRANCH,0.8285714285714286,70,58
org.apache.commons.csv.CSVPrinter,BRANCH,0.9296875,128,119
org.apache.commons.csv.CSVRecord,BRANCH,0.96875,32,31
org.apache.commons.csv.CSVParser,BRANCH,0.8513513513513513,74,63
org.apache.commons.csv.CSVFormat,BRANCH,1.0,164,164
org.apache.commons.csv.CSVRecord,BRANCH,0.9722222222222222,36,35
org.apache.commons.csv.CSVPrinter,BRANCH,0.9069767441860465,129,117
org.apache.commons.csv.CSVParser,BRANCH,0.7261904761904762,84,61
org.apache.commons.csv.CSVFormat,BRANCH,1.0,167,167
org.apache.commons.csv.CSVFormat,BRANCH,0.9748743718592965,199,194
org.apache.commons.csv.CSVPrinter,BRANCH,0.7913669064748201,139,110
org.apache.commons.csv.CSVFormat,BRANCH,0.9818731117824774,331,324
org.apache.commons.csv.CSVFormat,BRANCH,0.941358024691358,324,305
org.apache.commons.csv.CSVParser,BRANCH,0.8617021276595744,94,81
org.apache.commons.cli.CommandLine,BRANCH,1.0,32,32
org.apache.commons.cli.PosixParser,BRANCH,0.9333333333333333,45,42
org.apache.commons.cli.TypeHandler,BRANCH,0.967741935483871,31,28
org.apache.commons.cli.Parser,BRANCH,0.8108108108108109,74,60
org.apache.commons.cli.Util,BRANCH,1.0,11,11
org.apache.commons.cli2.builder.PatternBuilder,BRANCH,0.8503401360544217,147,125
org.apache.commons.cli.HelpFormatter,BRANCH,0.9407407407407408,135,127
org.apache.commons.cli.Parser,BRANCH,0.8311688311688312,77,64
org.apache.commons.cli.Parser,BRANCH,0.8181818181818182,77,63
org.apache.commons.cli.HelpFormatter,BRANCH,0.927536231884058,138,128
org.apache.commons.cli.GnuParser,BRANCH,0.9523809523809523,21,20
org.apache.commons.cli2.WriteableCommandLine,BRANCH,0.0,0,0
org.apache.commons.cli2.commandline.WriteableCommandLineImpl,BRANCH,0.9642857142857143,56,54
org.apache.commons.cli2.option.ArgumentImpl,BRANCH,0.9900990099009901,101,100
org.apache.commons.cli2.option.GroupImpl,BRANCH,0.9299363057324841,157,146
org.apache.commons.cli2.commandline.WriteableCommandLineImpl,BRANCH,0.9722222222222222,72,70
org.apache.commons.cli2.Option,BRANCH,0.0,0,0
org.apache.commons.cli2.commandline.WriteableCommandLineImpl,BRANCH,0.9743589743589743,78,74
org.apache.commons.cli2.option.GroupImpl,BRANCH,0.9299363057324841,157,146
org.apache.commons.cli2.option.OptionImpl,BRANCH,0.9574468085106383,47,45
org.apache.commons.cli.PosixParser,BRANCH,0.9111111111111111,45,41
org.apache.commons.cli.PosixParser,BRANCH,0.9318181818181818,44,41
org.apache.commons.cli.PosixParser,BRANCH,0.8863636363636364,44,39
org.apache.commons.cli.PosixParser,BRANCH,0.94,50,47
org.apache.commons.cli2.WriteableCommandLine,BRANCH,0.0,0,0
org.apache.commons.cli2.commandline.WriteableCommandLineImpl,BRANCH,0.9659090909090909,88,83
org.apache.commons.cli2.option.GroupImpl,BRANCH,0.808641975308642,162,131
org.apache.commons.cli.PosixParser,BRANCH,0.9782608695652174,46,45
org.apache.commons.cli.HelpFormatter,BRANCH,0.9436619718309859,142,134
org.apache.commons.cli.HelpFormatter,BRANCH,0.9305555555555556,144,134
org.apache.commons.cli.HelpFormatter,BRANCH,0.9305555555555556,144,134
org.apache.commons.cli.OptionBuilder,BRANCH,1.0,21,21
org.apache.commons.cli.OptionGroup,BRANCH,1.0,19,19
org.apache.commons.cli.Parser,BRANCH,0.7922077922077922,77,61
org.apache.commons.cli.Util,BRANCH,1.0,15,15
org.joda.time.field.UnsupportedDurationField,BRANCH,0.8823529411764706,34,30
org.joda.time.Partial,BRANCH,0.9927536231884058,138,136
org.joda.time.field.UnsupportedDurationField,BRANCH,0.8857142857142857,35,31
org.joda.time.Partial,BRANCH,1.0,132,131
org.joda.time.MutableDateTime,BRANCH,0.9602649006622517,151,145
org.joda.time.Partial,BRANCH,1.0,134,131
org.joda.time.Period,BRANCH,1.0,131,131
org.joda.time.chrono.GJChronology,BRANCH,0.7387387387387387,222,147
org.joda.time.format.DateTimeFormatter,BRANCH,0.9734513274336283,113,110
org.joda.time.DateTimeZone,BRANCH,0.8780487804878049,205,179
org.joda.time.DateTimeZone,BRANCH,0.8606965174129353,201,173
org.joda.time.base.BaseSingleFieldPeriod,BRANCH,0.9811320754716981,53,51
org.joda.time.tz.ZoneInfoCompiler,BRANCH,0.5517241379310345,232,128
org.joda.time.LocalDate,BRANCH,0.9366515837104072,221,207
org.joda.time.LocalDateTime,BRANCH,0.9424778761061947,226,213
org.joda.time.format.PeriodFormatterBuilder,BRANCH,0.9878682842287695,577,570
org.joda.time.chrono.BasicMonthOfYearDateTimeField,BRANCH,0.9841269841269841,63,62
org.joda.time.field.FieldUtils,BRANCH,0.9743589743589743,78,76
org.joda.time.format.DateTimeFormatter,BRANCH,0.9646017699115044,113,109
org.joda.time.DateTimeZone,BRANCH,0.8556701030927835,194,166
org.joda.time.chrono.GJChronology,BRANCH,0.9547738693467337,199,190
org.joda.time.DateTimeZone,BRANCH,0.8387096774193549,186,156
org.joda.time.format.DateTimeFormatterBuilder,BRANCH,0.9602739726027397,730,692
org.joda.time.base.BasePeriod,BRANCH,0.9871794871794872,78,77
org.joda.time.DateTimeZone,BRANCH,0.8333333333333334,186,155
org.joda.time.format.DateTimeParserBucket,BRANCH,0.9655172413793104,87,84
org.joda.time.DateTimeZone,BRANCH,0.8516483516483516,182,155
org.joda.time.chrono.ZonedChronology,BRANCH,0.9586776859504132,121,112
org.joda.time.DateTimeZone,BRANCH,0.8352272727272727,176,147
org.joda.time.field.LenientDateTimeField,BRANCH,1.0,9,9
org.joda.time.format.PeriodFormatterBuilder,BRANCH,0.9876977152899824,569,562
org.jsoup.nodes.Document,BRANCH,1.0,26,26
org.jsoup.parser.Parser,BRANCH,0.9782608695652174,92,90
org.jsoup.nodes.Element,BRANCH,0.8471337579617835,157,133
org.jsoup.parser.Parser,BRANCH,0.8865979381443299,97,86
org.jsoup.parser.Tag,BRANCH,0.8688524590163934,122,106
org.jsoup.nodes.Entities,BRANCH,0.9285714285714286,28,26
org.jsoup.parser.Parser,BRANCH,0.98,100,98
org.jsoup.nodes.Entities,BRANCH,0.9285714285714286,28,26
org.jsoup.nodes.Document,BRANCH,1.0,55,55
org.jsoup.nodes.Node,BRANCH,0.9848484848484849,66,65
org.jsoup.nodes.Entities,BRANCH,0.9259259259259259,27,25
org.jsoup.nodes.Node,BRANCH,0.96,75,72
org.jsoup.select.Selector,BRANCH,0.9097222222222222,144,131
org.jsoup.select.Selector,BRANCH,0.9342105263157895,152,142
org.jsoup.nodes.Node,BRANCH,0.9387755102040817,98,92
org.jsoup.parser.Tokeniser,BRANCH,0.9772727272727273,88,86
org.jsoup.parser.TokeniserState,BRANCH,0.0,850,0
org.jsoup.parser.TreeBuilderState,BRANCH,0.0,814,0
org.jsoup.nodes.DocumentType,BRANCH,1.0,7,7
org.jsoup.parser.TreeBuilderState,BRANCH,0.0,814,0
